Name,URL,Version,License
css-loader,https://www.npmjs.com/package/css-loader,5.2.1,MIT
katex,https://www.npmjs.com/package/katex,0.13.11,MIT
monaco-editor,https://www.npmjs.com/package/monaco-editor,0.21.2,MIT
antd,https://www.npmjs.com/package/antd,4.12.2,MIT
mini-store,https://www.npmjs.com/package/mini-store,3.0.2,MIT
react-dnd,https://www.npmjs.com/package/react-dnd,11.1.1,MIT
react-dom,https://www.npmjs.com/package/react-dom,17.0.1,MIT
react-intl,https://www.npmjs.com/package/react-intl,5.8.6,BSD-3-Clause
react-redux,https://www.npmjs.com/package/react-redux,7.2.0,MIT
react,https://www.npmjs.com/package/react,17.0.1,MIT
redux,https://www.npmjs.com/package/redux,4.0.5,MIT
plotly.js,https://www.npmjs.com/package/plotly.js,1.58.3,MIT
react-plotly.js,https://www.npmjs.com/package/react-plotly.js,2.5.1,MIT
marked,https://www.npmjs.com/package/marked,2.0.5,MIT
d3-time-format,https://www.npmjs.com/package/d3-time-format,2.3.0,BSD-3-Clause
d3,https://www.npmjs.com/package/d3,3.5.17,BSD-3-Clause
es6-promise,https://www.npmjs.com/package/es6-promise,4.2.8,MIT
events,https://www.npmjs.com/package/events,1.1.1,MIT
fast-isnumeric,https://www.npmjs.com/package/fast-isnumeric,1.1.4,MIT
gl-mat4,https://www.npmjs.com/package/gl-mat4,1.2.0,Zlib
has-hover,https://www.npmjs.com/package/has-hover,1.0.1,MIT
has-passive-events,https://www.npmjs.com/package/has-passive-events,1.0.0,MIT
is-browser,https://www.npmjs.com/package/is-browser,2.1.0,MIT
is-string-blank,https://www.npmjs.com/package/is-string-blank,1.0.1,MIT
mouse-event-offset,https://www.npmjs.com/package/mouse-event-offset,3.0.2,MIT
parse-svg-path,https://www.npmjs.com/package/parse-svg-path,0.1.2,MIT
polybooljs,https://www.npmjs.com/package/polybooljs,1.2.0,MIT
tinycolor2,https://www.npmjs.com/package/tinycolor2,1.4.2,MIT
d3-time,https://www.npmjs.com/package/d3-time,1.1.0,BSD-3-Clause
@ant-design/colors,https://www.npmjs.com/package/@ant-design/colors,5.0.1,MIT
@ctrl/tinycolor,https://www.npmjs.com/package/@ctrl/tinycolor,3.3.4,MIT
@ant-design/icons-svg,https://www.npmjs.com/package/@ant-design/icons-svg,4.1.0,MIT
@ant-design/icons,https://www.npmjs.com/package/@ant-design/icons,4.4.0,MIT
rc-util,https://www.npmjs.com/package/rc-util,5.0.1,MIT
@babel/runtime,https://www.npmjs.com/package/@babel/runtime,7.11.2,MIT
@emotion/core,https://www.npmjs.com/package/@emotion/core,10.0.28,MIT
@emotion/cache,https://www.npmjs.com/package/@emotion/cache,10.0.29,MIT
@emotion/sheet,https://www.npmjs.com/package/@emotion/sheet,0.9.4,MIT
@emotion/utils,https://www.npmjs.com/package/@emotion/utils,0.11.3,MIT
@emotion/stylis,https://www.npmjs.com/package/@emotion/stylis,0.8.5,MIT
@emotion/css,https://www.npmjs.com/package/@emotion/css,10.0.27,MIT
@emotion/serialize,https://www.npmjs.com/package/@emotion/serialize,0.11.16,MIT
@emotion/unitless,https://www.npmjs.com/package/@emotion/unitless,0.7.5,MIT
@emotion/memoize,https://www.npmjs.com/package/@emotion/memoize,0.7.4,MIT
@emotion/hash,https://www.npmjs.com/package/@emotion/hash,0.8.0,MIT
@react-dnd/invariant,https://www.npmjs.com/package/@react-dnd/invariant,2.0.0,MIT
@react-dnd/shallowequal,https://www.npmjs.com/package/@react-dnd/shallowequal,2.0.0,MIT
@rehooks/component-size,https://www.npmjs.com/package/@rehooks/component-size,1.0.3,MIT
lodash,https://www.npmjs.com/package/lodash,4.17.20,MIT
bowser,https://www.npmjs.com/package/bowser,2.9.0,MIT
classnames,https://www.npmjs.com/package/classnames,2.2.6,MIT
clipboard-polyfill,https://www.npmjs.com/package/clipboard-polyfill,3.0.1,MIT
copy-to-clipboard,https://www.npmjs.com/package/copy-to-clipboard,3.3.1,MIT
dom-to-image,https://www.npmjs.com/package/dom-to-image,2.6.0,MIT
fast-memoize,https://www.npmjs.com/package/fast-memoize,2.5.2,MIT
file-saver,https://www.npmjs.com/package/file-saver,2.0.2,MIT
fuse.js,https://www.npmjs.com/package/fuse.js,3.6.1,Apache-2.0
hash-it,https://www.npmjs.com/package/hash-it,5.0.2,MIT
history,https://www.npmjs.com/package/history,4.10.1,MIT
resolve-pathname,https://www.npmjs.com/package/resolve-pathname,3.0.0,MIT
hoist-non-react-statics,https://www.npmjs.com/package/hoist-non-react-statics,3.3.2,BSD-3-Clause
immer,https://www.npmjs.com/package/immer,8.0.0,MIT
insert-css,https://www.npmjs.com/package/insert-css,2.0.0,MIT
react-lifecycles-compat,https://www.npmjs.com/package/react-lifecycles-compat,3.0.4,MIT
object-assign,https://www.npmjs.com/package/object-assign,4.1.1,MIT
path-to-regexp,https://www.npmjs.com/package/path-to-regexp,1.8.0,MIT
isarray,https://www.npmjs.com/package/isarray,0.0.1,MIT
process,https://www.npmjs.com/package/process,0.11.10,MIT
prop-types,https://www.npmjs.com/package/prop-types,15.7.2,MIT
rc-checkbox,https://www.npmjs.com/package/rc-checkbox,2.3.1,MIT
rc-collapse,https://www.npmjs.com/package/rc-collapse,3.1.0,MIT
rc-dialog,https://www.npmjs.com/package/rc-dialog,8.5.1,MIT
rc-dropdown,https://www.npmjs.com/package/rc-dropdown,3.2.0,MIT
rc-field-form,https://www.npmjs.com/package/rc-field-form,1.18.1,MIT
async-validator,https://www.npmjs.com/package/async-validator,3.2.4,MIT
rc-input-number,https://www.npmjs.com/package/rc-input-number,6.2.0,MIT
rc-menu,https://www.npmjs.com/package/rc-menu,8.10.5,MIT
rc-motion,https://www.npmjs.com/package/rc-motion,2.4.1,MIT
rc-notification,https://www.npmjs.com/package/rc-notification,4.5.4,MIT
rc-pagination,https://www.npmjs.com/package/rc-pagination,3.1.3,MIT
rc-picker,https://www.npmjs.com/package/rc-picker,2.5.2,MIT
rc-resize-observer,https://www.npmjs.com/package/rc-resize-observer,1.0.0,MIT
rc-select,https://www.npmjs.com/package/rc-select,12.1.2,MIT
rc-virtual-list,https://www.npmjs.com/package/rc-virtual-list,3.2.6,MIT
rc-overflow,https://www.npmjs.com/package/rc-overflow,1.0.2,MIT
rc-switch,https://www.npmjs.com/package/rc-switch,3.2.1,MIT
rc-tabs,https://www.npmjs.com/package/rc-tabs,11.7.3,MIT
rc-textarea,https://www.npmjs.com/package/rc-textarea,0.3.0,MIT
omit.js,https://www.npmjs.com/package/omit.js,2.0.2,MIT
rc-tooltip,https://www.npmjs.com/package/rc-tooltip,5.0.2,MIT
rc-trigger,https://www.npmjs.com/package/rc-trigger,5.2.1,MIT
rc-align,https://www.npmjs.com/package/rc-align,4.0.3,MIT
dom-align,https://www.npmjs.com/package/dom-align,1.11.1,MIT
react-dnd-html5-backend,https://www.npmjs.com/package/react-dnd-html5-backend,11.1.1,MIT
dnd-core,https://www.npmjs.com/package/dnd-core,11.1.1,MIT
@react-dnd/asap,https://www.npmjs.com/package/@react-dnd/asap,4.0.0,MIT
react-error-boundary,https://www.npmjs.com/package/react-error-boundary,3.0.2,MIT
@formatjs/intl,https://www.npmjs.com/package/@formatjs/intl,1.3.6,MIT
tslib,https://www.npmjs.com/package/tslib,2.0.3,0BSD
intl-messageformat,https://www.npmjs.com/package/intl-messageformat,9.3.11,BSD-3-Clause
@formatjs/ecma402-abstract,https://www.npmjs.com/package/@formatjs/ecma402-abstract,1.2.5,MIT
intl-messageformat-parser,https://www.npmjs.com/package/intl-messageformat-parser,6.0.10,BSD-3-Clause
react-is,https://www.npmjs.com/package/react-is,16.13.1,MIT
react-reverse-portal,https://www.npmjs.com/package/react-reverse-portal,2.0.1,Apache-2.0
react-router-dom,https://www.npmjs.com/package/react-router-dom,5.2.0,MIT
react-router,https://www.npmjs.com/package/react-router,5.2.0,MIT
mini-create-react-context,https://www.npmjs.com/package/mini-create-react-context,0.4.0,MIT
react-scroll-sync,https://www.npmjs.com/package/react-scroll-sync,0.8.0,MIT
react-use,https://www.npmjs.com/package/react-use,15.3.4,Unlicense
react-virtualized-auto-sizer,https://www.npmjs.com/package/react-virtualized-auto-sizer,1.0.5,MIT
react-window,https://www.npmjs.com/package/react-window,1.8.5,MIT
memoize-one,https://www.npmjs.com/package/memoize-one,5.1.1,MIT
redux-undo,https://www.npmjs.com/package/redux-undo,1.0.1,MIT
regenerator-runtime,https://www.npmjs.com/package/regenerator-runtime,0.13.5,MIT
resize-observer-polyfill,https://www.npmjs.com/package/resize-observer-polyfill,1.5.1,MIT
scheduler,https://www.npmjs.com/package/scheduler,0.20.1,MIT
scroll-into-view-if-needed,https://www.npmjs.com/package/scroll-into-view-if-needed,2.2.26,MIT
compute-scroll-into-view,https://www.npmjs.com/package/compute-scroll-into-view,1.0.16,MIT
shallow-equal,https://www.npmjs.com/package/shallow-equal,1.2.1,MIT
shallowequal,https://www.npmjs.com/package/shallowequal,1.1.0,MIT
symbol-observable,https://www.npmjs.com/package/symbol-observable,1.2.0,MIT
talisman,https://www.npmjs.com/package/talisman,0.21.0,MIT
tiny-invariant,https://www.npmjs.com/package/tiny-invariant,1.1.0,MIT
toggle-selection,https://www.npmjs.com/package/toggle-selection,1.0.6,MIT
tree-to-flat-map,https://www.npmjs.com/package/tree-to-flat-map,1.0.1,MIT
use-force-update,https://www.npmjs.com/package/use-force-update,1.0.7,MIT
d3-hierarchy,https://www.npmjs.com/package/d3-hierarchy,1.1.9,BSD-3-Clause
